ID,Complaint,Department
512,Water tanker did not arrive in Saidapet as scheduled,Water Supply
513,"New street light pole is needed on Market Road, Saidapet",Street Lighting
514,Corruption reported in distribution of government scheme benefits in Kodambakkam,Corruption
515,Government hospital near School Lane lacks basic medicines,Health
516,Someone demanded a bribe for approval of a document in Chromepet,Corruption
517,Street lights are not working on Gandhi Street in Vadapalani,Street Lighting
518,No science teacher appointed at near the temple school for 5 months,Education
519,Dumping ground near the government school area is causing bad odor,Waste Management
520,Bus service is irregular on the Kolathur route,Public Transport
521,No specialist doctor visits the the old bus stand area health center,Health
522,Street lights are not working on North Street in the main market road,Street Lighting
523,Public dustbin near Park Avenue is broken and overflowing,Waste Management
524,Streetside electric meter is sparking in Pallavaram,Electricity
525,Air pollution levels are high near the factory in Alwarpet,Environment
526,Signboards are missing at the Church Street intersection,Traffic
527,Street light flickers continuously on Bypass Road,Street Lighting
528,School lacks drinking water facility in the industrial estate,Education
529,Dumping ground near Egmore is causing bad odor,Waste Management
530,No security personnel at the public park in Kolathur,Public Safety
531,Teacher is absent regularly at the Chromepet government school,Education
532,Money was demanded for processing a pension application in Guindy,Corruption
533,Abandoned building near MG Road is unsafe for children,Public Safety
534,Electric pole near South Street is leaning dangerously,Electricity
535,Ambulance service is delayed in Porur,Health
536,Voltage fluctuation is damaging appliances in Porur,Electricity
537,Noise pollution from construction near Main Road at night,Environment
538,Bus service is irregular on the Kodambakkam route,Public Transport
539,No traffic police present at busy junction near Main Road,Traffic
540,Teacher is absent regularly at the the industrial estate government school,Education
541,Illegal sand mining reported near the old bus stand area,Environment
542,Dumping ground near Adyar is causing bad odor,Waste Management
543,Frequent power cuts are occurring in Pallavaram,Electricity
544,Hospital in Phase 2 lacks cleanliness and hygiene,Health
545,Signboards are missing at the Nehru Street intersection,Traffic
546,Auto drivers are refusing to use the meter near Ring Road,Public Transport
547,Dark stretch on Ring Road due to broken street lights,Street Lighting
548,Encroachment on the lake near Tambaram is destroying wetlands,Environment
549,Last bus timing has been cancelled for the housing board colony,Public Transport
550,No waste collection service provided in Egmore colony,Waste Management
551,Bus service is irregular on the Ambattur route,Public Transport
552,Road divider near MG Road is broken,Road Maintenance
553,Plastic waste dumped near the water body in Ambattur,Environment
554,Illegal dumping of waste is happening near Church Street,Waste Management
555,Open manhole causing danger on North Street in Kodambakkam,Public Safety
556,No science teacher appointed at the main market road school for 4 months,Education
557,Plastic waste dumped near the water body in Adyar,Environment
558,Garbage is overflowing near Bypass Road in Alwarpet,Waste Management
559,Electric pole near Ring Road is leaning dangerously,Electricity
560,Speed breakers are missing near the school on South Street,Road Maintenance
561,Transformer near Station Road in the housing board colony is not working,Electricity
562,Segregated waste is being mixed by collection staff in Egmore,Waste Management
563,Hospital in Ward 12 lacks cleanliness and hygiene,Health
564,A middleman asked for extra money to process ration card in Alwarpet,Corruption
565,"No signal at the school crossing near Station Road, the main market road",Traffic
566,Air pollution levels are high near the factory in the housing board colony,Environment
567,Frequent power cuts are occurring in Velachery,Electricity
568,Electric pole near Bazaar Street is leaning dangerously,Electricity
569,No science teacher appointed at Adyar school for 8 months,Education
570,Illegal dumping of waste is happening near Nehru Street,Waste Management
571,Road divider near North Street is broken,Road Maintenance
572,Garbage is overflowing near South Street in Vadapalani,Waste Management
573,Burning of waste is causing smoke in the industrial estate,Environment
574,Money was demanded for processing a pension application in the main market road,Corruption
575,"Street lights remain on during daytime in the panchayat office area, wasting power",Street Lighting
576,Illegal tree cutting is happening near MG Road in Egmore,Environment
577,Deep pit left uncovered near South Street in Adyar,Public Safety
578,Hospital in Phase 2 lacks cleanliness and hygiene,Health
579,Contaminated water is being supplied in Porur,Water Supply
580,Vaccination camp was cancelled without notice in Anna Nagar,Health
581,Encroachment on the lake near the railway station road is destroying wetlands,Environment
582,"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance
583,No waste collection service provided in Perambur colony,Waste Management
584,School building near Station Road needs urgent repair,Education
585,Encroachment on the lake near Kolathur is destroying wetlands,Environment
586,Hospital in Tambaram has no doctors available,Health
587,Illegal dumping of waste is happening near Bazaar Street,Waste Management
588,Water tanker did not arrive in Velachery as scheduled,Water Supply
589,A middleman asked for extra money to process ration card in Phase 2,Corruption
590,Broken compound wall near MG Road is a safety hazard,Public Safety
591,Air pollution levels are high near the factory in Tambaram,Environment
592,No water connection provided despite application in the old bus stand area,Water Supply
593,A government official asked for extra money to process ration card in near the temple,Corruption
594,Segregated waste is being mixed by collection staff in Kolathur,Waste Management
595,Dumping ground near T Nagar is causing bad odor,Waste Management
596,"Traffic signal is damaged at Bazaar Street junction, Kodambakkam",Traffic
597,New electricity connection is delayed in Mylapore,Electricity
598,Bribe was demanded for issuing a building permit in Mylapore,Corruption
599,Corruption reported in distribution of government scheme benefits in Chromepet,Corruption
600,Billing error in electricity charges for Guindy residents,Electricity
