Complaint,Department,Label
Plastic waste dumped near the water body in Ambattur,Environment,3
Official at the Anna Nagar office is demanding money for a certificate,Corruption,0
Solar street lights installed in Alwarpet are non functional,Street Lighting,8
Frequent traffic congestion on Church Street during peak hours,Traffic,9
Solar street lights installed in Tambaram are non functional,Street Lighting,8
Borewell in Porur has run dry,Water Supply,11
An officer at the counter is taking bribes for water connection approvals in Sector 5,Corruption,0
No traffic police present at busy junction near Ring Road,Traffic,9
School lacks drinking water facility in T Nagar,Education,1
Mid day meal quality is poor at Mylapore school,Education,1
Power supply tripped and not restored for 8 hours in Sector 5,Electricity,2
Leaking pipeline is wasting water on Park Avenue,Water Supply,11
Voltage fluctuation is damaging appliances in the main market road,Electricity,2
Bus conductor misbehaved with passengers on Mylapore route,Public Transport,6
Abandoned building near Temple Street is unsafe for children,Public Safety,5
Deep pit left uncovered near Gandhi Street in near the temple,Public Safety,5
No security personnel at the public park in the old bus stand area,Public Safety,5
Bus stop shelter near Bazaar Street is damaged,Public Transport,6
New electricity connection is delayed in Pallavaram,Electricity,2
Corruption reported in distribution of government scheme benefits in T Nagar,Corruption,0
Stray dogs are attacking residents in Alwarpet,Public Safety,5
Illegal parking is causing traffic jams on Temple Street,Traffic,9
Road divider near Market Road is broken,Road Maintenance,7
Speed breakers are missing near the school on MG Road,Road Maintenance,7
No science teacher appointed at the government school area school for 3 months,Education,1
Hospital in Porur has no doctors available,Health,4
A government official asked for extra money to process ration card in Ambattur,Corruption,0
Zebra crossing markings have faded on Gandhi Street,Traffic,9
Dead animal left uncollected on Ring Road in Royapettah,Waste Management,10
Garbage collection truck has not come to Adyar for 2 days,Waste Management,10
Stray dogs are attacking residents in Pallavaram,Public Safety,5
"Traffic signal is damaged at Temple Street junction, T Nagar",Traffic,9
"No signal at the school crossing near Church Street, Ambattur",Traffic,9
Dead animal left uncollected on Park Avenue in Vadapalani,Waste Management,10
Someone demanded a bribe for approval of a document in Vadapalani,Corruption,0
Ambulance service is delayed in Porur,Health,4
Teacher is absent regularly at the Vadapalani government school,Education,1
3 street lights have been off for weeks near Main Road,Street Lighting,8
Borewell in Perambur has run dry,Water Supply,11
Dark stretch on Bazaar Street due to broken street lights,Street Lighting,8
Overhead tank in Adyar has not been cleaned in months,Water Supply,11
Garbage collection truck has not come to Porur for 6 days,Waste Management,10
There is no drinking water in Guindy for the past 10 days,Water Supply,11
Noise pollution from construction near Gandhi Street at night,Environment,3
Signboards are missing at the Park Avenue intersection,Traffic,9
Street light flickers continuously on Gandhi Street,Street Lighting,8
Bus conductor misbehaved with passengers on Kolathur route,Public Transport,6
Illegal dumping of waste is happening near Church Street,Waste Management,10
No science teacher appointed at Velachery school for 2 months,Education,1
Dead animal left uncollected on Temple Street in near the temple,Waste Management,10
Official at the near the temple office is demanding money for a certificate,Corruption,0
Illegal sand mining reported near Block C,Environment,3
Mid day meal quality is poor at the housing board colony school,Education,1
Borewell in Pallavaram has run dry,Water Supply,11
Overhead tank in Ward 12 has not been cleaned in months,Water Supply,11
Construction debris left on North Street blocking traffic,Road Maintenance,7
Official at the Porur office is demanding money for a certificate,Corruption,0
Air pollution levels are high near the factory in T Nagar,Environment,3
"Low water pressure reported near Market Road, the old bus stand area",Water Supply,11
Construction debris left on Temple Street blocking traffic,Road Maintenance,7
School building near Bypass Road needs urgent repair,Education,1
Stray dogs are attacking residents in Anna Nagar,Public Safety,5
Bus frequency has reduced drastically on the old bus stand area route,Public Transport,6
Water tanker did not arrive in Royapettah as scheduled,Water Supply,11
School building near Main Road needs urgent repair,Education,1
Road near Temple Street has not been repaired after monsoon,Road Maintenance,7
Official at the Chromepet office is demanding money for a certificate,Corruption,0
Bus service is irregular on the Pallavaram route,Public Transport,6
Frequent traffic congestion on South Street during peak hours,Traffic,9
Frequent power cuts are occurring in the old bus stand area,Electricity,2
Electricity is unavailable in Kodambakkam for the past 11 days,Electricity,2
No traffic police present at busy junction near Church Street,Traffic,9
Primary health center in Kolathur is understaffed,Health,4
There is no drinking water in Adyar for the past 15 days,Water Supply,11
School in the railway station road lacks proper toilet facilities,Education,1
Water body near near the temple is being polluted by industrial waste,Environment,3
Last bus timing has been cancelled for Royapettah,Public Transport,6
Auto drivers are refusing to use the meter near Nehru Street,Public Transport,6
Long waiting times reported at Anna Nagar government hospital,Health,4
Signboards are missing at the Bazaar Street intersection,Traffic,9
Corruption reported in distribution of government scheme benefits in Alwarpet,Corruption,0
Overcrowded buses are running on the the government school area route,Public Transport,6
"No signal at the school crossing near South Street, the railway station road",Traffic,9
Air pollution levels are high near the factory in the government school area,Environment,3
Solar street lights installed in Block C are non functional,Street Lighting,8
Dead animal left uncollected on South Street in Mylapore,Waste Management,10
School lacks drinking water facility in near the temple,Education,1
Teacher is absent regularly at the Guindy government school,Education,1
Speed breakers are missing near the school on Bypass Road,Road Maintenance,7
Transformer near Market Road in the old bus stand area is not working,Electricity,2
Segregated waste is being mixed by collection staff in Guindy,Waste Management,10
Borewell in the old bus stand area has run dry,Water Supply,11
Dumping ground near T Nagar is causing bad odor,Waste Management,10
Illegal tree cutting is happening near Church Street in Velachery,Environment,3
Someone demanded a bribe for approval of a document in Kodambakkam,Corruption,0
Water tanker did not arrive in the housing board colony as scheduled,Water Supply,11
Dead animal left uncollected on Gandhi Street in the panchayat office area,Waste Management,10
Government hospital near North Street lacks basic medicines,Health,4
Garbage is overflowing near Gandhi Street in the old bus stand area,Waste Management,10
Water tanker did not arrive in Egmore as scheduled,Water Supply,11
Street light wiring is exposed and dangerous in the old bus stand area,Street Lighting,8
Open manhole causing danger on Temple Street in Block C,Public Safety,5
Government hospital near Main Road lacks basic medicines,Health,4
Streetside electric meter is sparking in Kodambakkam,Electricity,2
Dumping ground near Mylapore is causing bad odor,Waste Management,10
Bus service is irregular on the Velachery route,Public Transport,6
